poet_id,작가,책 제목,출판사,시리즈,번호,출판년도,등단년도,등단매체,등단매체_정규화,등단경로,등단장르,n_works_in_book
P0187,신두호,사라진 입을 위한 선언,창비,창비시선,407,2017,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,4
P0186,신동호,그림자를 가지러 가야 한다,창비,창비시선,478,2022,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,1
P0319,장석남,고요는 도망가지 말아라,문학동네,문학동네 시인선,15,2012,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,1
P0319,장석남,뺨에 서쪽을 빛내다,창비,창비시선,317,2010,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,1
P0319,장석남,"미소는, 어디로 가시려는가",문학과지성사,문학과지성 시인선,304,2005,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,2
P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,27
P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,14
P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,18
P0248,이다희,시 창작 스터디,문학동네,문학동네 시인선,138,2020,2017,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,3
P0246,이기인,어깨 위로 떨어지는 편지,창비,창비시선,316,2010,2000,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,4
P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,7
P0143,박지일,물보라,민음사,민음의 시,326,2024,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,60
P0140,박주택,시간의 동공,문학과지성사,문학과지성 시인선,368,2009,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,3
P0140,박주택,또 하나의 지구가 필요할 때,문학과지성사,문학과지성 시인선,436,2013,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,5
P0062,김승희,단무지와 베이컨의 진실한 사람,창비,창비시선,457,2021,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,1
P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,6
P0352,조영석,토이 크레인,문학동네,문학동네 시인선,46,2013,2004,계간 문학동네,문학동네,매체 및 문학상,시,3
P0111,마윤지,개구리극장,민음사,민음의 시,320,2024,2022,계간 파란 신인상,계간 파란 신인상,신인상,시,5
P0043,김민지,잠든 사람과의 통화,창비,창비시선,509,2024,2021,계간 파란 신인상,계간 파란 신인상,신인상,시,3
P0055,김선태,그늘의 깊이,문학동네,문학동네 시인선,62,2014,1993,광주일보 신춘문예,광주일보 신춘문예,신춘문예,시,12
P0055,김선태,살구꽃이 돌아왔다,창비,창비시선,299,2009,1993,광주일보 신춘문예,광주일보 신춘문예,신춘문예,시,12
P0150,박해석,중얼거리는 천사들,문학동네,문학동네 시인선,94,2017,1995,국민일보 문학상,국민일보 문학상,매체 및 문학상,시,1
P0244,이기리,젖은 풍경은 잘 말리기,문학과지성사,문학과지성 시인선,578,2022,2020,김수영문학상,김수영문학상,매체 및 문학상,시,4
P0244,이기리,그 웃음을 나도 좋아해,민음사,민음의 시,279,2020,2020,김수영문학상,김수영문학상,매체 및 문학상,시,11
P0147,박참새,정신머리,민음사,민음의 시,319,2023,2023,김수영문학상,김수영문학상,매체 및 문학상,시,1
P0132,박승민,끝은 끝으로 이어진,창비,창비시선,448,2020,2007,내일을 여는 작가,내일을 여는 작가,매체 및 문학상,시,9
P0132,박승민,해는 요즘도 아침에 뜨겠죠,창비,창비시선,508,2024,2007,내일을 여는 작가,내일을 여는 작가,매체 및 문학상,시,2
P0281,이용훈,근무일지,창비,창비시선,479,2022,2018,내일을 여는 작가 신인상,내일을 여는 작가,신인상,시,28
P0300,이창기,착한 애인은 없다네,창비,창비시선,380,2014,1993,노둣돌,노둣돌,매체 및 문학상,시,22
P0300,이창기,나라고 할 만한 것이 없다,문학과지성사,문학과지성 시인선,297,2005,1993,노둣돌,노둣돌,매체 및 문학상,시,1
P0066,김연덕,재와 사랑의 미래,민음사,민음의 시,283,2021,2018,대산대학문학상,대산대학문학상,매체 및 문학상,시,5
P0292,이정록,그럴 때가 있다,창비,창비시선,476,2022,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,7
P0292,이정록,눈에 넣어도 아프지 않은 것들의 목록,창비,창비시선,404,2016,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,8
P0292,이정록,정말,창비,창비시선,313,2010,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,7
P0292,이정록,의자,문학과지성사,문학과지성 시인선,313,2006,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,5
P0292,이정록,제비꽃 여인숙,민음사,민음의 시,105,2001,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,3
P0320,장석원,역진화의 시작,문학과지성사,문학과지성 시인선,408,2012,2002,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,1
P0030,김경주,고래와 수증기,문학과지성사,문학과지성 시인선,445,2014,2003,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,1
P0030,김경주,시차의 눈을 달랜다,민음사,민음의 시,160,2009,2003,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,5
P0030,김경주,기담,문학과지성사,문학과지성 시인선,354,2008,2003,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,4
P0124,박상수,오늘 같이 있어,문학동네,문학동네 시인선,109,2018,2000,동서문학,동서문학,매체 및 문학상,시,17
P0124,박상수,숙녀의 기분,문학동네,문학동네 시인선,41,2013,2000,동서문학,동서문학,매체 및 문학상,시,5
P0069,김영래,하늘이 담긴 손,민음사,민음의 시,123,2004,1997,동서문학,동서문학,매체 및 문학상,시,3
P0334,정복여,먼지는 무슨 힘으로 뭉쳐지나,창비,창비시선,193,2000,1993,동서문학 신인상,동서문학,신인상,시,5
P0231,윤병무,5분의 추억,문학과지성사,문학과지성 시인선,248,2000,1995,동서문학 신인상,동서문학,신인상,시,2
P0346,정희성,흰 밤에 꿈꾸다,창비,창비시선,431,2019,1970,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,4
P0346,정희성,돌아다보면 문득,창비,창비시선,291,2008,1970,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0318,장대송,스스로 웃는 매미,문학동네,문학동네 시인선,25,2012,1991,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
