poet_id,작가,n_works,n_books,first_pub_year,last_pub_year,debut_year
P0000,강기원,16,4,2006,2021,1997
P0001,강보원,5,1,2021,2021,2016
P0002,강성은,44,3,2009,2018,2005
P0003,강신애,4,2,2002,2020,1996
P0004,강우근,2,1,2024,2024,2020
P0005,강정,3,2,2008,2014,1992
P0006,강지이,3,1,2021,2021,2017
P0007,강지혜,2,1,2022,2022,2013
P0008,강형철,4,1,2002,2002,1985
P0009,고명재,7,1,2022,2022,2020
P0011,고영민,19,5,2009,2024,2002
P0012,고진하,3,2,2001,2015,1987
P0013,고창환,6,1,2000,2000,1996
P0014,고형렬,2,2,2001,2006,1979
P0015,곽은영,6,2,2012,2020,2006
P0016,곽재구,3,2,2012,2019,1981
P0017,구광렬,1,1,2013,2013,1986
P0018,구현우,8,1,2020,2020,2014
P0019,권기만,10,1,2015,2015,2012
P0020,권민경,1,1,2018,2018,2011
P0021,권박,8,2,2019,2021,2012
P0022,권선희,5,1,2024,2024,1998
P0023,권창섭,2,1,2021,2021,2015
P0024,권혁웅,45,4,2005,2013,1997
P0025,기혁,6,2,2014,2018,2010
P0026,길상호,14,1,2016,2016,2001
P0027,김개미,14,2,2017,2023,2005
P0028,김경미,2,2,2008,2023,1983
P0029,김경인,10,2,2012,2020,2001
P0030,김경주,10,3,2008,2014,2003
P0031,김경후,16,4,2001,2022,1998
P0032,김근,43,3,2008,2024,1998
P0033,김기택,5,2,2012,2023,1989
P0034,김기형,1,1,2021,2021,2017
P0035,김길나,3,1,2003,2003,1996
P0036,김두안,9,1,2009,2009,2006
P0037,김리윤,1,1,2022,2022,2019
P0038,김명리,2,2,2002,2022,1983
P0039,김명수,1,1,2000,2000,1977
P0040,김미령,4,2,2017,2021,2005
P0042,김민정,38,3,2009,2019,1999
P0043,김민지,3,1,2024,2024,2021
P0044,김박은경,41,1,2020,2020,2002
P0045,김복희,1,1,2020,2020,2015
P0046,김사이,8,1,2018,2018,2002
P0047,김사인,2,2,2006,2015,1981
P0048,김산,12,1,2011,2011,2007
P0049,김상미,29,2,2017,2022,1990
P0050,김상혁,31,3,2013,2023,2009
P0051,김석영,5,1,2022,2022,2015
P0052,김선오,9,1,2022,2022,2020
P0053,김선우,12,5,2003,2021,1996
P0054,김선재,4,1,2018,2018,2007
P0055,김선태,24,2,2009,2014,1993
P0056,김성규,3,2,2008,2013,2004
P0057,김성대,3,2,2010,2013,2005
P0058,김소연,11,4,2006,2023,1993
P0059,김수복,1,1,2012,2012,1975
P0060,김수영,2,1,2000,2000,1945
P0061,김승일,6,2,2012,2019,2009
P0062,김승희,7,2,2000,2021,1973
P0063,김안,49,3,2011,2024,2004
P0064,김언,102,5,2009,2021,1998
P0065,김언희,78,5,2000,2024,1989
P0066,김연덕,5,1,2021,2021,2018
P0067,김연숙,9,1,2015,2015,2002
P0068,김연신,4,1,2004,2004,1994
P0069,김영래,3,1,2004,2004,1997
P0071,김영태,3,1,2000,2000,1959
P0072,김용택,12,3,2016,2023,1982
P0073,김유림,57,2,2021,2022,2016
P0074,김유태,11,1,2021,2021,2018
P0075,김윤배,5,2,2001,2007,1986
P0076,김윤이,3,1,2011,2011,2007
P0077,김은지,1,1,2023,2023,2016
P0078,김이강,4,3,2012,2024,2006
P0079,김이듬,17,5,2007,2023,2001
P0080,김재근,7,1,2015,2015,2010
P0081,김재혁,32,2,2007,2013,1994
P0082,김점용,1,1,2001,2001,1997
P0083,김정환,3,2,2000,2016,1980
P0084,김종연,4,2,2022,2024,2011
P0085,김주대,11,1,2012,2012,1991
P0086,김준현,4,2,2017,2022,2013
P0087,김중,4,1,2002,2002,1999
P0088,김중식,4,1,2020,2020,1990
P0089,김중일,21,5,2007,2022,2002
P0090,김지녀,6,3,2009,2020,2007
P0091,김참,50,1,2020,2020,1995
P0092,김충규,1,1,2013,2013,1998
P0093,김학중,1,1,2017,2017,2009
P0094,김행숙,2,1,2014,2014,1999
P0095,김현,11,2,2014,2021,2009
P0096,김현서,1,1,2016,2016,1996
P0097,김혜수,6,1,2010,2010,1979
P0098,김혜순,11,6,2000,2022,1979
P0099,김희준,9,1,2020,2020,2017
P0100,나희덕,4,3,2001,2009,1989
P0101,남길순,8,1,2024,2024,2012
P0102,남진우,51,2,2009,2020,1981
P0103,노향림,6,1,2019,2019,1970
P0104,도종환,3,1,2011,2011,1984
P0105,류경무,4,1,2015,2015,1999
P0106,류근,6,2,2010,2016,1992
P0107,류인서,3,2,2005,2019,2001
P0109,류휘석,1,1,2023,2023,2019
P0110,리산,6,2,2013,2017,2006
P0111,마윤지,5,1,2024,2024,2022
P0112,문동만,4,1,2009,2009,1994
P0113,문보영,12,2,2017,2023,2016
P0114,문성해,8,3,2005,2016,1998
P0115,문인수,15,3,2008,2015,1985
P0116,문태준,25,6,2000,2022,1994
P0117,문혜진,28,3,2004,2017,1998
P0118,민구,2,1,2014,2014,2009
P0119,박강,15,1,2013,2013,2007
P0120,박경희,21,2,2019,2024,2001
P0121,박규리,6,1,2004,2004,1995
P0122,박남준,1,1,2005,2005,1984
P0123,박라연,1,1,2023,2023,1990
P0124,박상수,22,2,2013,2018,2000
P0125,박상순,1,1,2004,2004,1991
P0126,박서영,4,1,2019,2019,1995
P0127,박성우,5,3,2007,2017,2000
P0128,박성준,13,2,2012,2016,2009
P0129,박세랑,4,1,2021,2021,2018
P0130,박세미,1,1,2019,2019,2014
P0131,박소란,2,1,2015,2015,2009
P0132,박승민,11,2,2020,2024,2007
P0133,박승열,4,1,2022,2022,2018
P0134,박시하,1,1,2016,2016,2008
P0135,박연준,3,2,2007,2012,2004
P0136,박은율,2,1,2013,2013,1988
P0137,박은정,30,2,2015,2020,2011
P0138,박은지,1,1,2021,2021,2018
P0139,박정대,12,3,2001,2016,1990
P0140,박주택,8,2,2009,2013,1986
P0141,박준,28,2,2012,2018,2008
P0142,박지웅,9,2,2012,2021,2004
P0143,박지일,60,1,2024,2024,2020
P0144,박지혜,20,1,2014,2014,2010
P0145,박진성,5,1,2014,2014,2001
P0146,박찬일,3,2,2002,2006,1993
P0147,박참새,1,1,2023,2023,2023
P0148,박철,2,1,2018,2018,1987
P0149,박태일,2,2,2002,2013,1980
P0150,박해석,1,1,2017,2017,1995
P0151,박형준,8,4,2002,2020,1991
P0152,박후기,17,1,2009,2009,2001
P0153,배수연,10,2,2018,2024,2013
P0154,배시은,2,1,2022,2022,2017
P0155,배영옥,7,1,2019,2019,1999
P0156,배용제,1,1,2004,2004,1997
P0157,배진우,2,1,2023,2023,2016
P0159,백상웅,4,1,2012,2012,2008
P0160,백은선,1,1,2016,2016,2012
