work_id,poet_id,작가,책 제목,출판사,시리즈,번호,출판년도,작품 제목,등단년도,등단매체,등단매체_정규화,등단경로,등단장르,어절수
W00001,P0187,신두호,사라진 입을 위한 선언,창비,창비시선,407,2017,세계화,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,174
W00002,P0187,신두호,사라진 입을 위한 선언,창비,창비시선,407,2017,일몰,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,124
W00003,P0187,신두호,사라진 입을 위한 선언,창비,창비시선,407,2017,계절의 방,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,112
W00004,P0187,신두호,사라진 입을 위한 선언,창비,창비시선,407,2017,간격들,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,119
W00005,P0186,신동호,그림자를 가지러 가야 한다,창비,창비시선,478,2022,우체통이 늘 짜다,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,95
W00006,P0319,장석남,고요는 도망가지 말아라,문학동네,문학동네 시인선,15,2012,민화,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,52
W00007,P0319,장석남,뺨에 서쪽을 빛내다,창비,창비시선,317,2010,수락산 근처,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,52
W00008,P0319,장석남,"미소는, 어디로 가시려는가",문학과지성사,문학과지성 시인선,304,2005,익살꾼 소나무,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,42
W00009,P0319,장석남,"미소는, 어디로 가시려는가",문학과지성사,문학과지성 시인선,304,2005,고양이풀에 물 주다,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,55
W00010,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,여기에 그리고 저기에,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,153
W00011,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,나무 식별하기,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,140
W00012,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,구름에서 영원까지,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,222
W00013,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,푸른 물이다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,244
W00015,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,흐른다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,145
W00016,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,동굴 속 어둠이 낯선 얼굴로 다가온다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,202
W00017,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,부드럽고 깨어나는 우리들의 순간,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,205
W00018,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,또 하나의 노래가 모래밭으로 떠난다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,187
W00022,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,있었던 것이 있었던 곳에는 있었던 것이 있었던 것처럼 있었고,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,230
W00023,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,돌을 만지는 심정으로 당신을 만지고,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,220
W00026,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,나뭇가지처런 나아가는 물결로,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,182
W00027,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,멀어지지 않으려고 고개를 들어,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,238
W00028,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,꿈과 현실의 경계로부터 물러났고,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,220
W00031,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,노래하는 양으로,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,176
W00032,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,밤에 의한 불,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,177
W00033,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,모자와 구두,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,229
W00034,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,언젠가 가게 될 해변,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,236
W00035,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,풀을 떠나며,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,222
W00036,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,나무 공에 의지하여,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,237
W00037,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,꿈과 꼬리,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,208
W00038,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,피라미드와 새,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,235
W00039,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,풀이 많은 강가에서,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,174
W00041,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,열매의 마음,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,131
W00042,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,나무는 잠든다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,253
W00048,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,발화 연습 문장 - 외톨이 숲을 걸어가는 이웃 새,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,260
W00049,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,발화 연습 문장 - 이미 찢겼지만 다시 찢겨야만 한다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,238
W00052,P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,발화 연습 문장 - 몰의 말,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,150
W00056,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,나선의 감각-검은 양이 있다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,133
W00057,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,차와 공,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,184
W00058,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,사과와 감,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,131
W00059,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,나선의 감각-목소리의 여행,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,210
W00060,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,두루미자리에서 마차부자리까지,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,103
W00061,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,기적의 모나카,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,106
W00063,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,구름 없는 구름 속으로,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,124
