work_id,topic
W00001,0
W00002,-1
W00003,-1
W00004,-1
W00005,12
W00006,16
W00007,1
W00008,1
W00009,16
W00010,-1
W00011,1
W00012,16
W00013,-1
W00015,7
W00016,-1
W00017,4
W00018,-1
W00022,17
W00023,7
W00026,10
W00027,0
W00028,-1
W00031,-1
W00032,13
W00033,13
W00034,0
W00035,1
W00036,-1
W00037,-1
W00038,-1
W00039,0
W00041,-1
W00042,1
W00048,1
W00049,4
W00052,13
W00056,5
W00057,10
W00058,19
W00059,-1
W00060,17
W00061,1
W00063,21
W00064,10
W00066,3
W00068,6
W00071,-1
W00074,1
W00075,14
W00076,0
W00077,-1
W00078,-1
W00079,4
W00080,14
W00081,12
W00083,15
W00084,-1
W00085,-1
W00086,-1
W00087,-1
W00088,19
W00089,15
W00090,-1
W00091,6
W00092,0
W00093,-1
W00094,-1
W00095,6
W00096,14
W00097,13
W00098,11
W00099,24
W00100,1
W00101,-1
W00102,-1
W00103,0
W00104,-1
W00105,-1
W00106,14
W00107,8
W00108,17
W00109,-1
W00112,13
W00113,3
W00114,-1
W00115,-1
W00117,0
W00118,-1
W00119,21
W00120,13
W00121,21
W00122,0
W00123,-1
W00125,-1
W00126,21
W00127,7
W00128,7
W00129,-1
W00130,3
W00131,9
W00132,-1
W00133,21
W00134,1
W00135,13
W00136,21
W00137,-1
W00138,21
W00139,9
W00140,-1
W00141,1
W00142,12
W00143,21
W00144,16
W00145,16
W00146,-1
W00147,-1
W00148,21
W00149,14
W00150,21
W00151,13
W00152,-1
W00153,1
W00154,21
W00155,23
W00156,23
W00157,-1
W00158,3
W00159,14
W00160,0
W00161,21
W00162,6
W00163,-1
W00164,-1
W00165,-1
W00166,0
W00167,14
W00168,10
W00169,21
W00170,-1
W00171,9
W00172,21
W00173,21
W00174,-1
W00175,-1
W00176,-1
W00177,-1
W00178,-1
W00179,6
W00180,-1
W00181,-1
W00182,7
W00183,6
W00184,15
W00185,-1
W00186,-1
W00187,10
W00188,-1
W00189,-1
W00190,12
W00191,1
W00192,23
W00193,1
W00194,5
W00195,23
W00196,5
W00197,-1
W00198,-1
W00199,10
W00200,0
W00201,-1
W00202,-1
W00203,-1
W00204,-1
W00205,-1
W00206,-1
W00207,-1
W00208,0
W00209,-1
W00210,0
W00211,-1
W00212,-1
W00213,5
W00214,1
W00215,0
W00216,20
W00217,3
W00218,1
W00219,3
W00220,8
W00221,3
W00222,3
W00223,1
W00224,-1
W00226,-1
W00227,-1
W00229,-1
W00230,-1
W00232,5
W00233,-1
W00234,-1
W00235,1
W00236,-1
W00237,1
W00238,-1
W00239,1
W00240,3
W00241,3
W00243,9
W00245,4
W00246,0
W00247,3
W00248,-1
W00249,4
W00250,2
W00251,-1
W00252,-1
W00253,1
W00254,10
W00255,-1
W00256,-1
W00257,-1
W00258,-1
W00259,-1
