topic_id,size,in_robust_subset,topwords,c_v,c_npmi,u_mass,c_uci
0,261,True,"바다(0.039), 모래(0.030), 돌(0.029), 물고기(0.025), 파도(0.023), 해변(0.016), 수지(0.013), 섬(0",0.3422820852413425,-0.07013819887048649,-7.176542286399221,-3.5495940996832624
1,260,True,"꽃(0.059), 숲(0.034), 잎(0.023), 피다(0.018), 장미(0.017), 가지(0.016), 은행나무(0.016), 꽃잎(0",0.4619269923822329,-0.00922145287905705,-4.799137846724642,-2.40204569125176
2,187,False,"아버지(0.077), 어머니(0.052), 엄마(0.051), 아들(0.025), 고모(0.018), 돈(0.018), 형(0.017), 동생(",0.46411678246123556,-0.05690350612195986,-6.475128232417834,-3.712000700224284
3,182,True,"개(0.059), 감자(0.021), 씹다(0.020), 짖다(0.020), 전복(0.018), 돼지(0.015), 접시(0.015), 닭(0.",0.4302867836211927,-0.20510266642118025,-10.208967083999315,-7.163976696898924
4,146,False,"여분(0.032), 한쪽(0.025), 자줏빛(0.024), 대해다(0.020), 겪다(0.018), 결정(0.016), 필요(0.015), 참",0.34237078706232876,-0.3450137165259704,-10.890079257372573,-9.734082138244961
5,117,False,"아이(0.127), 선생(0.042), 소녀(0.026), 학교(0.017), 교실(0.017), 그리다(0.016), 돌(0.014), 벽(0",0.3706545382314459,-0.04351853830459006,-4.705615533901801,-3.0945750938583383
6,117,False,"겨울(0.069), 외투(0.023), 얼음(0.023), 폭설(0.017), 눈송이(0.016), 하얗다(0.015), 사라(0.015), 악",0.35961407613227503,-0.2708556067797845,-12.385731347377025,-8.20486147647068
7,112,True,"비(0.132), 젖다(0.041), 우산(0.034), 빗방울(0.030), 내린다다(0.028), 빗줄기(0.025), 무지개(0.015),",0.4919439668363023,-0.11572791787117252,-6.701467059903917,-5.017748425049847
8,106,False,"그녀(0.140), 골다(0.027), 나열(0.025), 골목(0.020), 여인(0.018), 유방(0.017), 안개(0.015), 베레모",0.445793367862832,-0.2584602122435905,-14.59625533222782,-7.974337064026602
9,105,False,"사내(0.036), 노인(0.019), 지하(0.018), 자신(0.015), 물체(0.014), 인간(0.013), 개(0.013), 태양(0",0.1746890282779045,-0.12726061852587048,-4.777803428241508,-3.8066798657529817
10,85,False,"나비(0.053), 날개(0.036), 거미(0.035), 비둘기(0.031), 새다(0.028), 구멍(0.021), 깃털(0.019), 부리",0.3330455621792652,-0.11340787551850401,-6.197843732197456,-4.848747363589173
11,85,True,"시(0.113), 시인(0.104), 시집(0.031), 동무(0.028), 소설(0.025), 자신(0.020), 미안(0.019), 당나귀(",0.3530129177653625,-0.08870423706574203,-8.93682833097553,-4.558229375978138
12,75,False,"편지(0.062), 필자(0.049), 칠판(0.044), 글자(0.039), 페이지(0.034), 앞치마(0.025), 책상(0.023), 종",0.43901787473417553,-0.3319642331352767,-15.650275782808144,-9.763670493351539
13,68,False,"복도(0.052), 오류(0.041), 의자(0.035), 침대(0.031), 병(0.027), 계단(0.027), 구두(0.024), 거울(0",0.38456063328853685,-0.15964313140055747,-8.814919800871627,-4.928996545703063
14,63,False,"노래(0.051), 기타(0.049), 연노랑(0.038), 음악(0.035), 히치(0.029), 건반(0.028), 가수(0.027), 록(",0.3808315494542495,-0.24213340242615458,-12.061234278097409,-7.833766775574442
15,53,False,"모퉁이(0.053), 광장(0.021), 막차(0.021), 바깥(0.020), 발(0.020), 차(0.018), 택시(0.018), 자동차(",0.3044623030234049,-0.2215520325226868,-8.295058938970628,-6.960656881227075
16,53,True,"고양이(0.199), 우산(0.025), 낯선다(0.024), 사라집니다다(0.020), 배꼽(0.017), 지나갔다(0.017), 골목(0.0",0.2807217179045419,-0.14285770409853243,-6.848484407320122,-4.915846093188055
17,42,False,"별(0.104), 영광(0.043), 우주(0.036), 운석(0.028), 휴지(0.025), 지구(0.023), 행성(0.022), 구(0.",0.3095275167524077,-0.21651924620539517,-11.799505989234238,-7.6755822532077875
18,41,False,"어울리다(0.109), 상자(0.053), 하양(0.043), 시(0.038), 상처(0.031), 술(0.030), 시리우스(0.029), 나",0.4383060947113811,-0.35544018546624323,-13.909354520446215,-10.280387633022213
19,40,False,"사과(0.154), 오렌지(0.082), 수박(0.066), 포도(0.058), 딸기(0.051), 과일(0.045), 시금치(0.045), 참",0.36059538993879586,-0.15144307864955478,-11.411854405379229,-6.066024765453867
20,39,False,"할머니(0.204), 할아버지(0.034), 손주(0.031), 할망구(0.031), 이젠(0.025), 비녀(0.024), 시계(0.023),",0.42433379158451806,-0.136829769714186,-10.914693590880127,-6.24154613494141
21,38,False,"거울(0.238), 모자(0.191), 쓴다다(0.036), 두꺼비(0.028), 선다다(0.028), 안해(0.028), 앞머리(0.026),",0.36409568576629536,-0.2417874308368942,-12.812240747827055,-7.8066255886179965
22,37,False,"병원(0.079), 환자(0.038), 오빠(0.033), 아프다(0.032), 될까다(0.030), 간호사(0.030), 상관없다(0.028)",0.39875183938554465,-0.23666637344394065,-12.662191010024507,-7.902503091066645
23,34,False,"벽(0.058), 저무다(0.058), 아파트(0.051), 저물다(0.036), 옆집(0.034), 지나다(0.034), 옮기다(0.029),",0.27431839113892975,-0.19141690663926897,-8.458006463814401,-6.606299993737464
24,30,False,"버스(0.201), 기사(0.031), 남자(0.029), 정류장(0.029), 산양(0.028), 좌석(0.025), 그녀(0.021), 탔다",0.4438168053954087,-0.11515537224330687,-8.636198748861633,-5.29788831196438
