work_id,assigned_topic_hard,top1_topic,top1_pct,top2_topic,top2_pct,top3_topic,top3_pct,unexplained_pct
W00001,0,0,17.62,1,15.33,15,9.84,47.29
W00002,-1,4,18.67,15,12.1,0,9.86,52.8
W00003,-1,6,27.65,13,26.99,19,6.88,38.47
W00004,-1,6,38.95,17,10.62,15,6.49,39.36
W00005,12,12,47.23,19,8.71,6,0.65,43.42
W00006,16,16,25.94,13,15.95,1,9.32,39.55
W00007,1,1,19.84,15,11.72,17,6.3,44.43
W00008,1,1,49.77,0,0.0,22,0.0,50.23
W00009,16,16,38.39,19,7.0,18,4.04,48.8
W00010,-1,10,31.72,14,13.5,17,6.1,37.46
W00011,1,1,46.08,14,2.45,15,2.22,47.18
W00012,16,16,39.85,4,7.88,17,4.78,40.65
W00013,-1,0,15.2,14,12.42,1,9.12,38.64
W00015,7,7,28.79,5,20.07,1,8.19,41.01
W00016,-1,4,24.64,15,21.68,8,6.31,40.54
W00017,4,4,37.46,17,8.29,24,3.25,48.77
W00018,-1,17,11.48,14,11.31,0,10.91,43.86
W00022,17,17,15.88,1,10.48,21,8.73,49.12
W00023,7,1,24.75,0,13.37,7,7.82,39.82
W00026,10,10,30.73,13,6.01,14,5.13,44.35
W00027,0,0,30.89,15,7.11,9,5.88,43.92
W00028,-1,12,17.63,14,16.29,22,7.12,45.77
W00031,-1,1,18.31,14,14.85,8,10.5,47.57
W00032,13,13,49.91,21,2.63,3,2.43,45.02
W00033,13,13,37.05,21,5.4,10,3.57,46.77
W00034,0,0,36.82,6,9.14,12,7.79,44.56
W00035,1,1,27.23,4,15.37,10,7.73,44.51
W00036,-1,19,11.3,1,10.48,12,9.59,54.35
W00037,-1,9,17.07,15,15.05,16,10.37,49.35
W00038,-1,10,25.69,4,8.99,6,5.47,47.66
W00039,0,0,29.17,7,13.83,1,6.68,50.32
W00041,-1,19,33.15,1,26.72,0,0.0,40.13
W00042,1,1,28.65,6,13.18,13,9.66,48.5
W00048,1,10,23.73,1,18.67,0,0.0,57.6
W00049,4,21,22.94,4,21.84,17,13.55,37.57
W00052,13,13,19.29,21,8.55,2,5.87,53.07
W00056,5,5,39.09,3,3.49,19,2.39,53.81
W00057,10,6,19.63,7,7.37,18,6.59,53.16
W00058,19,19,39.81,15,11.38,4,5.92,42.89
W00059,-1,17,20.95,21,10.38,13,8.77,43.22
W00060,17,17,30.33,1,13.32,14,10.57,38.2
W00061,1,1,29.52,17,21.42,5,5.9,43.16
W00063,21,21,37.25,11,12.94,4,7.71,37.91
W00064,10,7,15.26,4,12.57,9,7.85,45.03
W00066,3,3,34.45,4,12.21,11,1.4,51.94
W00068,6,6,24.16,4,19.91,24,5.75,43.02
W00071,-1,4,20.95,12,18.61,1,9.61,42.13
W00074,1,1,29.3,21,18.02,4,5.84,43.23
W00075,14,14,34.42,4,15.38,7,2.45,47.74
W00076,0,0,31.86,6,8.75,17,6.62,44.55
W00077,-1,0,9.53,14,8.48,19,7.77,52.39
W00078,-1,16,15.44,24,9.14,3,7.19,58.21
W00079,4,4,21.39,22,14.55,19,9.73,44.24
W00080,14,14,36.32,22,8.33,18,5.99,36.34
W00081,12,12,19.23,8,8.07,11,7.68,51.33
W00083,15,15,27.03,17,12.11,21,6.66,49.23
W00084,-1,6,17.85,16,13.56,22,11.38,49.27
W00085,-1,19,25.76,12,12.67,16,10.17,46.38
W00086,-1,21,16.9,13,14.3,4,12.96,39.27
W00087,-1,21,18.85,18,15.48,14,12.48,41.55
W00088,19,19,56.15,17,1.19,0,0.0,42.66
W00089,15,15,36.87,21,9.09,13,5.69,40.03
W00090,-1,1,14.74,14,14.11,17,11.58,44.22
