topic_id,is_robust,rank,poet,n_works,mean_motif_pct,excess_over_corpus_mean
0,True,1,최하림,3,22.68,19.1
0,True,2,류인서,3,18.6,15.02
0,True,3,신대철,4,17.8,14.22
0,True,4,최두석,3,17.57,13.98
0,True,5,김선태,24,15.87,12.29
0,True,6,심재휘,6,14.34,10.75
0,True,7,박찬일,3,13.04,9.46
0,True,8,박서영,4,12.18,8.6
0,True,9,손택수,26,11.99,8.4
0,True,10,성윤석,18,11.42,7.84
1,True,1,홍일표,3,20.14,16.61
1,True,2,장석남,4,19.73,16.2
1,True,3,이병일,4,17.77,14.24
1,True,4,이면우,5,17.34,13.81
1,True,5,고창환,6,17.16,13.62
1,True,6,곽재구,3,16.63,13.09
1,True,7,나희덕,4,15.94,12.41
1,True,8,강정,3,15.89,12.35
1,True,9,김윤배,5,14.72,11.19
1,True,10,김선우,12,14.29,10.75
2,False,1,서상영,18,24.55,22.47
2,False,2,유용주,3,23.55,21.47
2,False,3,이현승,3,17.32,15.24
2,False,4,김주대,11,13.62,11.54
2,False,5,문동만,4,11.71,9.63
2,False,6,전동균,7,10.94,8.86
2,False,7,박경희,21,10.83,8.75
2,False,8,최백규,7,9.31,7.23
2,False,9,이희중,5,9.28,7.2
2,False,10,허은실,7,9.0,6.92
3,False,1,이병초,4,20.15,17.6
3,False,2,고진하,3,19.82,17.27
3,False,3,문동만,4,15.79,13.24
3,False,4,허은실,7,13.13,10.58
3,False,5,조인호,6,11.56,9.01
3,False,6,권선희,5,10.91,8.36
3,False,7,장철문,8,10.52,7.97
3,False,8,최두석,3,9.71,7.16
3,False,9,김언희,78,9.56,7.01
3,False,10,조연호,6,9.19,6.64
4,False,1,김중식,4,29.91,26.81
4,False,2,유수연,13,21.55,18.45
4,False,3,이철성,3,18.95,15.86
4,False,4,김박은경,41,17.25,14.16
4,False,5,이응준,11,16.8,13.71
4,False,6,이서하,11,16.72,13.63
4,False,7,김언,102,16.05,12.96
4,False,8,유선혜,3,15.16,12.07
4,False,9,류근,6,12.67,9.58
4,False,10,정영효,11,12.44,9.35
5,False,1,마윤지,5,18.47,16.52
5,False,2,채인숙,4,16.49,14.54
5,False,3,김성규,3,16.32,14.37
5,False,4,이기인,4,9.29,7.33
5,False,5,박서영,4,8.87,6.91
5,False,6,신대철,4,8.33,6.38
5,False,7,김중,4,8.23,6.27
5,False,8,이현승,3,7.78,5.82
5,False,9,정재학,102,7.43,5.48
5,False,10,김희준,9,7.31,5.36
6,False,1,신두호,4,16.65,14.26
6,False,2,이장욱,3,15.42,13.03
6,False,3,이병일,4,13.29,10.9
6,False,4,장현,3,12.91,10.52
6,False,5,장석주,5,12.83,10.44
6,False,6,천서봉,12,12.59,10.2
6,False,7,김연신,4,12.52,10.13
6,False,8,이은규,6,10.28,7.89
6,False,9,구현우,8,10.19,7.8
6,False,10,김길나,3,10.06,7.67
7,True,1,김선재,4,22.14,20.08
7,True,2,김희준,9,15.28,13.22
7,True,3,오규원,8,12.48,10.43
7,True,4,정남식,5,11.56,9.51
7,True,5,신동옥,6,10.85,8.8
7,True,6,문성해,8,10.84,8.79
7,True,7,조은,7,10.71,8.66
7,True,8,박진성,5,10.59,8.53
7,True,9,천수호,10,10.57,8.51
7,True,10,백상웅,4,10.05,7.99
8,False,1,이윤학,7,17.01,14.8
8,False,2,김성규,3,16.49,14.28
8,False,3,함기석,5,11.92,9.71
8,False,4,이철성,3,11.85,9.63
8,False,5,유선혜,3,11.28,9.07
8,False,6,신철규,5,10.41,8.2
8,False,7,서동욱,10,10.04,7.83
8,False,8,윤석정,7,8.32,6.1
8,False,9,이은규,6,8.28,6.07
8,False,10,노향림,6,8.22,6.01
9,False,1,장수진,4,19.07,16.51
9,False,2,김기택,5,16.21,13.64
9,False,3,신철규,5,11.43,8.86
9,False,4,임정민,10,11.37,8.8
9,False,5,이영광,8,10.86,8.29
9,False,6,김중,4,10.73,8.16
9,False,7,김유태,11,9.31,6.74
9,False,8,진은영,4,8.29,5.72
9,False,9,이용훈,28,8.23,5.66
9,False,10,조연호,6,8.12,5.55
10,False,1,남길순,8,9.83,8.22
10,False,2,김민지,3,9.22,7.61
10,False,3,이병일,4,8.85,7.24
10,False,4,김두안,9,8.16,6.55
10,False,5,위선환,29,7.93,6.32
10,False,6,신철규,5,7.79,6.17
10,False,7,함성호,7,7.72,6.1
10,False,8,심언주,13,7.65,6.04
10,False,9,여세실,4,7.5,5.89
10,False,10,노향림,6,7.12,5.51
11,True,1,박승열,4,19.86,17.99
11,True,2,김영태,3,19.53,17.67
11,True,3,김정환,3,13.92,12.05
11,True,4,이승훈,6,11.1,9.24
11,True,5,윤희상,4,10.93,9.06
11,True,6,정한아,3,10.28,8.42
