poet,n_works,mean_unexplained_pct,top1_motif,top1_pct,top2_motif,top2_pct,top3_motif,top3_pct,specialty1_motif,specialty1_excess_pct,specialty2_motif,specialty2_excess_pct,specialty3_motif,specialty3_excess_pct
이시영,246,54.11,T0,5.24,T11,3.68,T20,3.61,T20,2.1,T11,1.81,T0,1.66
이준규,129,48.4,T1,5.34,T6,5.15,T15,4.04,T6,2.76,T16,2.34,T15,2.08
정재학,102,50.3,T5,7.43,T14,4.51,T22,3.24,T5,5.48,T14,2.82,T22,1.38
김언,102,53.3,T4,16.05,T9,4.13,T12,2.75,T4,12.96,T9,1.57,T12,1.12
송재학,101,46.42,T1,9.35,T0,9.12,T7,4.54,T1,5.82,T0,5.54,T7,2.48
조말선,96,50.93,T19,5.31,T1,4.6,T3,4.17,T19,3.85,T13,1.9,T18,1.73
김언희,78,47.71,T18,10.15,T3,9.56,T8,3.03,T18,8.13,T3,7.01,T10,1.03
이기성,72,46.25,T9,7.22,T8,7.02,T3,4.52,T8,4.8,T9,4.65,T3,1.98
서효인,67,51.67,T9,5.27,T5,4.4,T3,4.02,T9,2.7,T5,2.44,T24,1.94
이수명,64,52.92,T13,5.69,T15,5.12,T7,3.54,T13,3.7,T15,3.17,T7,1.48
박지일,60,50.63,T21,15.65,T6,3.43,T0,3.35,T21,14.26,T6,1.04,T14,0.93
이제니,59,45.48,T1,6.27,T4,5.48,T19,3.81,T1,2.73,T4,2.39,T19,2.35
김유림,57,51.49,T11,4.33,T15,4.23,T4,4.05,T11,2.47,T15,2.27,T24,1.66
이영주,56,46.58,T23,4.63,T13,4.45,T17,3.67,T23,2.68,T13,2.46,T17,1.89
장이지,52,46.99,T12,13.72,T17,3.69,T11,3.49,T12,12.08,T17,1.91,T11,1.63
남진우,51,52.01,T0,4.82,T6,4.74,T17,3.69,T6,2.35,T17,1.91,T10,1.81
김참,50,53.3,T23,8.62,T1,4.16,T7,3.53,T23,6.66,T10,1.86,T7,1.47
김안,49,46.1,T4,5.53,T6,3.66,T5,3.53,T4,2.43,T12,1.58,T5,1.57
성기완,46,49.28,T18,6.15,T4,4.13,T7,3.38,T18,4.13,T12,1.55,T14,1.52
권혁웅,45,45.55,T9,7.3,T3,6.32,T18,5.35,T9,4.74,T3,3.77,T18,3.33
강성은,44,51.28,T8,5.49,T15,5.31,T6,3.48,T15,3.35,T8,3.28,T17,1.33
김근,43,47.53,T9,6.07,T1,5.24,T5,4.89,T9,3.5,T5,2.93,T8,2.46
김박은경,41,44.87,T4,17.25,T21,4.1,T18,3.33,T4,14.16,T21,2.71,T12,1.57
이민하,40,46.96,T5,4.8,T24,4.52,T3,4.36,T24,3.23,T5,2.84,T3,1.82
이찬,39,48.25,T20,18.12,T7,5.99,T9,2.48,T20,16.61,T7,3.93,T18,0.07
김민정,38,46.63,T11,7.99,T3,5.96,T8,5.74,T11,6.13,T8,3.52,T3,3.41
안태운,37,48.02,T9,7.13,T0,6.63,T15,6.3,T9,4.57,T15,4.34,T0,3.04
이승희,36,43.8,T4,7.94,T0,5.77,T1,5.51,T4,4.85,T7,3.4,T12,2.53
황성희,35,48.25,T4,5.98,T19,4.64,T13,4.26,T19,3.18,T4,2.88,T11,2.34
송기영,32,52.7,T4,8.22,T18,5.71,T2,5.5,T4,5.13,T18,3.69,T2,3.42
김재혁,32,45.87,T1,9.81,T0,6.41,T6,3.98,T1,6.28,T0,2.83,T6,1.59
김상혁,31,47.67,T4,7.63,T1,4.9,T2,4.26,T4,4.53,T2,2.18,T23,1.95
차호지,31,54.79,T13,8.27,T15,5.9,T4,4.06,T13,6.28,T15,3.94,T22,2.06
이정록,30,48.07,T11,5.11,T3,4.75,T2,4.31,T11,3.24,T10,2.53,T2,2.23
박은정,30,43.48,T14,8.38,T6,5.8,T8,3.99,T14,6.7,T6,3.41,T17,1.96
김상미,29,51.32,T11,9.88,T8,4.38,T2,4.15,T11,8.01,T8,2.16,T2,2.07
위선환,29,47.7,T0,9.2,T10,7.93,T7,4.49,T10,6.32,T0,5.62,T21,2.73
이원,29,47.72,T21,12.36,T8,6.07,T5,4.73,T21,10.97,T8,3.86,T5,2.77
박준,28,45.68,T23,6.1,T1,5.3,T7,5.12,T23,4.14,T22,3.15,T7,3.06
이용훈,28,48.13,T18,10.54,T9,8.23,T3,3.92,T18,8.53,T9,5.66,T3,1.37
이재훈,28,45.05,T0,7.02,T4,5.87,T10,5.14,T10,3.52,T0,3.44,T4,2.77
문혜진,28,48.77,T0,7.35,T18,7.14,T3,5.17,T18,5.12,T0,3.76,T14,2.95
유희경,28,43.93,T6,10.01,T1,5.32,T15,4.17,T6,7.62,T15,2.21,T1,1.79
허수경,27,51.78,T0,7.46,T17,5.8,T5,3.7,T17,4.02,T0,3.87,T5,1.74
이이체,27,45.51,T0,5.01,T1,4.78,T14,4.0,T14,2.32,T22,2.1,T2,1.74
손택수,26,48.85,T0,11.99,T20,4.75,T10,3.36,T0,8.4,T20,3.24,T10,1.74
문태준,25,47.22,T1,11.22,T10,6.45,T7,4.7,T1,7.69,T10,4.84,T7,2.65
김선태,24,52.03,T0,15.87,T1,6.57,T3,5.53,T0,12.29,T20,3.78,T1,3.03
신영배,24,49.23,T0,9.91,T1,5.84,T8,5.4,T0,6.33,T8,3.19,T1,2.31
이창기,23,51.52,T11,5.44,T6,4.6,T8,3.97,T11,3.58,T6,2.21,T8,1.76
송진권,22,45.85,T20,9.61,T3,7.35,T2,6.46,T20,8.1,T3,4.8,T2,4.38
박상수,22,42.22,T4,7.71,T6,6.77,T1,4.46,T4,4.61,T6,4.38,T24,1.87
박경희,21,43.5,T2,10.83,T22,8.62,T1,5.94,T2,8.75,T22,6.75,T20,4.29
김중일,21,45.77,T17,6.82,T10,4.37,T1,4.22,T17,5.04,T10,2.76,T7,1.16
최정례,21,51.62,T22,5.81,T4,4.24,T11,4.12,T22,3.94,T11,2.26,T4,1.14
최영철,21,49.24,T22,5.03,T18,4.56,T4,4.15,T22,3.16,T18,2.54,T15,1.61
성미정,21,55.45,T3,7.53,T22,5.55,T2,3.88,T3,4.98,T22,3.68,T21,1.96
박지혜,20,48.01,T15,7.29,T4,6.64,T6,4.81,T15,5.33,T4,3.55,T6,2.42
조민,20,49.66,T22,6.11,T12,5.18,T18,4.11,T22,4.25,T12,3.55,T19,2.12
고영민,19,50.67,T1,8.94,T8,5.76,T2,4.67,T1,5.4,T8,3.55,T2,2.59
신용목,19,43.66,T1,11.15,T0,6.36,T7,5.12,T1,7.62,T7,3.06,T0,2.78
유홍준,19,51.18,T8,7.29,T3,5.03,T19,4.84,T8,5.08,T19,3.38,T18,2.76
성윤석,18,48.31,T0,11.42,T1,4.28,T15,3.92,T0,7.84,T15,1.96,T11,1.88
임유영,18,54.86,T0,7.79,T2,4.03,T1,3.6,T0,4.21,T2,1.95,T24,1.4
서상영,18,50.71,T2,24.55,T4,5.65,T3,2.58,T2,22.47,T4,2.56,T3,0.04
서영처,18,48.16,T14,8.95,T1,7.52,T17,6.28,T14,7.27,T17,4.5,T1,3.99
이지아,17,51.15,T18,6.55,T14,4.81,T4,3.96,T18,4.53,T14,3.13,T16,1.88
김이듬,17,47.01,T15,8.09,T6,6.91,T3,3.59,T15,6.13,T6,4.52,T14,1.59
