topic_id,size,topwords,R1_persistence,R2_persistence,R3_persistence,R3star_persistence,cronbach_alpha,mean_pairwise_kappa
0,261,"바다(0.039), 모래(0.030), 돌(0.029), 물고기(0.025), 파도(0.023), 해변(0.016), 수지(0.013), 섬(0.013), 강(0.012), 갈매기(0.011)",0.75,0.6,0.4,1.0,0.8125,0.9066
1,260,"꽃(0.059), 숲(0.034), 잎(0.023), 피다(0.018), 장미(0.017), 가지(0.016), 은행나무(0.016), 꽃잎(0.015), 목련(0.014), 산(0.013)",0.7916666666666666,0.7,0.4,1.0,0.8076,0.8865
2,187,"아버지(0.077), 어머니(0.052), 엄마(0.051), 아들(0.025), 고모(0.018), 돈(0.018), 형(0.017), 동생(0.015), 누나(0.012), 젖(0.012)",0.75,0.7,0.3,0.75,0.6841,0.8025
3,182,"개(0.059), 감자(0.021), 씹다(0.020), 짖다(0.020), 전복(0.018), 돼지(0.015), 접시(0.015), 닭(0.014), 밥(0.014), 고기(0.014)",0.6666666666666666,0.6,0.3,0.75,0.7121,0.892
4,146,"여분(0.032), 한쪽(0.025), 자줏빛(0.024), 대해다(0.020), 겪다(0.018), 결정(0.016), 필요(0.015), 참다(0.014), 원했다(0.014), 애인(0.014)",0.5,0.0,0.2,0.5,0.5036,0.8286
5,117,"아이(0.127), 선생(0.042), 소녀(0.026), 학교(0.017), 교실(0.017), 그리다(0.016), 돌(0.014), 벽(0.014), 수업(0.013), 학생(0.012)",0.625,0.3,0.4,1.0,0.8239,0.9564
6,117,"겨울(0.069), 외투(0.023), 얼음(0.023), 폭설(0.017), 눈송이(0.016), 하얗다(0.015), 사라(0.015), 악어(0.015), 위하다(0.015), 하얀다(0.014)",0.7083333333333334,0.2,0.4,1.0,0.795,0.8375
7,112,"비(0.132), 젖다(0.041), 우산(0.034), 빗방울(0.030), 내린다다(0.028), 빗줄기(0.025), 무지개(0.015), 빗소리(0.013), 골목(0.013), 올빼미(0.013)",0.7916666666666666,0.5,0.4,1.0,0.7846,0.8
8,106,"그녀(0.140), 골다(0.027), 나열(0.025), 골목(0.020), 여인(0.018), 유방(0.017), 안개(0.015), 베레모(0.015), 머리카락(0.011), 빨래(0.010)",0.75,0.1,0.4,1.0,0.8181,0.9308
9,105,"사내(0.036), 노인(0.019), 지하(0.018), 자신(0.015), 물체(0.014), 인간(0.013), 개(0.013), 태양(0.012), 남자(0.012), 표정(0.012)",0.6666666666666666,0.0,0.3,0.75,0.7155,0.9038
10,85,"나비(0.053), 날개(0.036), 거미(0.035), 비둘기(0.031), 새다(0.028), 구멍(0.021), 깃털(0.019), 부리(0.017), 날다(0.017), 공(0.016)",0.625,0.0,0.2,0.5,0.5062,0.8367
11,85,"시(0.113), 시인(0.104), 시집(0.031), 동무(0.028), 소설(0.025), 자신(0.020), 미안(0.019), 당나귀(0.016), 문학(0.015), 산문(0.014)",0.6666666666666666,0.4,0.4,1.0,0.8261,0.9661
12,75,"편지(0.062), 필자(0.049), 칠판(0.044), 글자(0.039), 페이지(0.034), 앞치마(0.025), 책상(0.023), 종이(0.021), 우체통(0.020), 유진(0.019)",0.625,0.2,0.3,0.75,0.7113,0.8895
13,68,"복도(0.052), 오류(0.041), 의자(0.035), 침대(0.031), 병(0.027), 계단(0.027), 구두(0.024), 거울(0.023), 열리다(0.023), 그럴듯하게다(0.022)",0.7083333333333334,0.2,0.3,0.75,0.6556,0.719
14,63,"노래(0.051), 기타(0.049), 연노랑(0.038), 음악(0.035), 히치(0.029), 건반(0.028), 가수(0.027), 록(0.025), 박수(0.024), 손가락(0.022)",0.6666666666666666,0.4,0.4,1.0,0.8145,0.9152
15,53,"모퉁이(0.053), 광장(0.021), 막차(0.021), 바깥(0.020), 발(0.020), 차(0.018), 택시(0.018), 자동차(0.016), 멈추다(0.016), 좁다(0.015)",0.4583333333333333,0.0,0.2,0.5,0.5245,0.894
16,53,"고양이(0.199), 우산(0.025), 낯선다(0.024), 사라집니다다(0.020), 배꼽(0.017), 지나갔다(0.017), 골목(0.017), 짐승(0.016), 털(0.015), 노래(0.014)",0.75,0.8,0.4,1.0,0.829,0.9796
17,42,"별(0.104), 영광(0.043), 우주(0.036), 운석(0.028), 휴지(0.025), 지구(0.023), 행성(0.022), 구(0.021), 지포(0.017), 빛나다(0.017)",0.5416666666666666,0.0,0.3,0.75,0.6701,0.759
18,41,"어울리다(0.109), 상자(0.053), 하양(0.043), 시(0.038), 상처(0.031), 술(0.030), 시리우스(0.029), 나팔꽃(0.028), 돌아온다다(0.025), 비둘기(0.022)",0.5416666666666666,0.0,0.3,0.75,0.6471,0.6964
19,40,"사과(0.154), 오렌지(0.082), 수박(0.066), 포도(0.058), 딸기(0.051), 과일(0.045), 시금치(0.045), 참외(0.045), 들판(0.035), 여름(0.034)",0.75,0.3,0.4,1.0,0.817,0.9256
20,39,"할머니(0.204), 할아버지(0.034), 손주(0.031), 할망구(0.031), 이젠(0.025), 비녀(0.024), 시계(0.023), 구박(0.022), 얼룩(0.021), 용왕(0.020)",0.625,0.1,0.4,1.0,0.788,0.8155
21,38,"거울(0.238), 모자(0.191), 쓴다다(0.036), 두꺼비(0.028), 선다다(0.028), 안해(0.028), 앞머리(0.026), 그리마(0.023), 벗다(0.023), 이마(0.022)",0.6666666666666666,0.1,0.2,0.5,0.54,0.9455
22,37,"병원(0.079), 환자(0.038), 오빠(0.033), 아프다(0.032), 될까다(0.030), 간호사(0.030), 상관없다(0.028), 누웠다(0.028), 그런다다(0.025), 시체(0.023)",0.5,0.0,0.1,0.25,,
23,34,"벽(0.058), 저무다(0.058), 아파트(0.051), 저물다(0.036), 옆집(0.034), 지나다(0.034), 옮기다(0.029), 베란다(0.028), 거인(0.026), 지붕(0.023)",0.6666666666666666,0.1,0.4,1.0,0.7964,0.8448
24,30,"버스(0.201), 기사(0.031), 남자(0.029), 정류장(0.029), 산양(0.028), 좌석(0.025), 그녀(0.021), 탔다(0.019), 돌아가다(0.019), 승객(0.019)",0.5416666666666666,0.1,0.1,0.25,,
