run_idx,umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,n_topics,outlier_pct,matched_baseline,mean_persistence,error
0,14,6,0.140625,59,8,2,23.55,0,0.0,
1,49,6,0.140625,59,8,11,65.62,3,0.12,
2,14,7,0.140625,59,8,3,20.68,0,0.0,
3,14,6,0.253125,59,8,14,65.62,3,0.12,
4,14,6,0.140625,48,8,2,5.02,0,0.0,
5,14,6,0.140625,59,7,2,24.02,0,0.0,
6,49,7,0.253125,48,7,10,66.7,3,0.12,
7,34,10,0.29062499999999997,29,13,16,70.92,3,0.12,
8,29,10,0.29062499999999997,29,13,16,68.85,4,0.16,
9,34,3,0.29062499999999997,29,13,2,11.53,0,0.0,
10,34,10,0.103125,29,13,20,64.35,12,0.48,
11,34,10,0.29062499999999997,78,13,4,66.78,0,0.0,
12,34,10,0.29062499999999997,29,12,17,71.78,4,0.16,
13,29,3,0.103125,78,12,2,25.27,0,0.0,
14,44,5,0.065625,74,10,14,57.45,7,0.28,
15,19,5,0.065625,74,10,4,39.57,0,0.0,
16,44,8,0.065625,74,10,8,51.83,1,0.04,
17,44,5,0.028124999999999997,74,10,14,55.67,5,0.2,
18,44,5,0.065625,63,10,14,57.45,7,0.28,
19,44,5,0.065625,74,14,12,61.22,6,0.24,
20,19,8,0.028124999999999997,63,14,14,59.44,11,0.44,
21,24,8,0.21562499999999998,44,5,3,27.19,0,0.0,
22,39,8,0.21562499999999998,44,5,4,37.23,0,0.0,
23,24,5,0.21562499999999998,44,5,12,66.29,3,0.12,
24,24,8,0.178125,44,5,3,26.43,0,0.0,
25,24,8,0.21562499999999998,33,5,19,61.78,9,0.36,
26,24,8,0.21562499999999998,44,9,3,27.6,0,0.0,
27,39,5,0.178125,33,9,2,18.94,0,0.0,
28,29,4,0.253125,37,7,2,25.61,0,0.0,
29,44,4,0.253125,37,7,16,69.19,3,0.12,
30,29,9,0.253125,37,7,3,27.21,0,0.0,
31,29,4,0.065625,37,7,2,4.61,0,0.0,
32,29,4,0.253125,56,7,9,66.61,2,0.08,
33,29,4,0.253125,37,10,2,18.61,0,0.0,
34,44,9,0.065625,56,10,13,64.3,3,0.12,
35,49,7,0.103125,67,12,10,59.8,3,0.12,
36,24,7,0.103125,67,12,3,28.61,0,0.0,
37,49,6,0.103125,67,12,2,35.24,0,0.0,
38,49,7,0.21562499999999998,67,12,6,67.71,0,0.0,
39,49,7,0.103125,26,12,23,64.37,12,0.48,
40,49,7,0.103125,67,5,2,18.46,0,0.0,
41,24,6,0.21562499999999998,26,5,2,10.75,0,0.0,
42,39,5,0.178125,22,14,20,68.42,7,0.28,
43,14,5,0.178125,22,14,2,9.35,0,0.0,
44,39,8,0.178125,22,14,2,21.09,0,0.0,
45,39,5,0.29062499999999997,22,14,2,30.63,0,0.0,
46,39,5,0.178125,41,14,15,70.01,5,0.2,
47,39,5,0.178125,22,8,3,21.41,0,0.0,
48,14,8,0.29062499999999997,41,8,3,26.93,0,0.0,
49,19,9,0.028124999999999997,52,9,2,3.12,0,0.0,
50,34,9,0.028124999999999997,52,9,16,58.42,9,0.36,
51,19,4,0.028124999999999997,52,9,2,1.81,0,0.0,
52,19,9,0.140625,52,9,3,28.29,0,0.0,
53,19,9,0.028124999999999997,71,9,14,54.61,9,0.36,
54,19,9,0.028124999999999997,52,13,18,53.3,14,0.56,
55,34,4,0.140625,71,13,3,48.88,0,0.0,
